lad_code,n,mean,rooms
E07000149,40,627,One
E07000200,100,644,One
E07000244,480,492,One
E07000202,250,592,One
E07000203,30,578,One
E07000245,130,744,One
E09000007,420,1663,One
E09000001,40,1977,One
E09000012,330,1553,One
E09000013,410,1552,One
E09000014,370,1359,One
E09000019,390,1607,One
E09000020,1030,2364,One
E09000022,430,1455,One
E09000023,480,1182,One
E09000025,500,1262,One
E09000028,790,1542,One
E09000030,430,1598,One
E09000032,390,1547,One
E09000033,460,2225,One
E09000002,200,1046,One
E09000003,540,1232,One
E09000004,160,1010,One
E09000005,170,1224,One
E09000006,730,1085,One
E09000008,450,1006,One
E09000009,460,1288,One
E09000010,190,1096,One
E09000011,410,1242,One
E09000015,250,1111,One
E09000016,200,974,One
E09000017,620,1034,One
E09000018,370,1270,One
E09000021,190,1157,One
E09000024,170,1321,One
E09000026,360,1097,One
E09000027,340,1299,One
E09000029,380,994,One
E09000031,460,1183,One
E06000036,450,838,One
E06000043,710,1026,One
E06000060,660,869,One
E06000046,450,543,One
E06000035,600,739,One
E06000042,370,893,One
E06000044,680,726,One
E06000038,1250,897,One
E06000039,350,868,One
E06000045,1250,712,One
E06000037,290,783,One
E06000040,380,980,One
E06000041,340,832,One
E07000061,250,753,One
E07000062,300,618,One
E07000063,160,835,One
E07000064,100,687,One
E07000065,130,793,One
E07000084,530,801,One
E07000085,100,761,One
E07000086,340,728,One
E07000087,180,718,One
E07000088,310,661,One
E07000089,240,843,One
E07000090,220,749,One
E07000091,290,726,One
E07000092,380,809,One
E07000093,110,759,One
E07000094,210,856,One
E07000105,170,788,One
E07000106,320,744,One
E07000107,210,899,One
E07000108,250,567,One
E07000112,380,545,One
E07000109,220,746,One
E07000110,240,761,One
E07000111,140,961,One
E07000113,120,704,One
E07000114,320,619,One
E07000115,120,849,One
E07000116,300,835,One
E07000177,220,823,One
E07000178,430,1124,One
E07000179,150,901,One
E07000180,180,847,One
E07000181,90,858,One
E07000207,260,1033,One
E07000208,130,1047,One
E07000209,360,1002,One
E07000210,180,921,One
E07000211,360,938,One
E07000212,210,959,One
E07000213,160,1009,One
E07000214,210,859,One
E07000215,110,953,One
E07000216,190,913,One
E07000217,460,979,One
E07000223,50,859,One
E07000224,250,704,One
E07000225,180,800,One
E07000226,250,892,One
E07000227,350,847,One
E07000228,210,857,One
E07000229,350,812,One
E06000022,670,913,One
E06000058,1610,733,One
E06000023,1150,995,One
E06000052,1340,603,One
E06000059,520,640,One
E06000053,10,509,One
E06000024,450,704,One
E06000026,1040,598,One
E06000025,220,830,One
E06000030,410,686,One
E06000027,480,535,One
E06000054,620,654,One
E07000040,270,557,One
E07000041,320,730,One
E07000042,160,559,One
E07000043,180,528,One
E07000044,110,648,One
E07000045,210,582,One
E07000046,80,497,One
E07000047,70,520,One
E07000078,310,721,One
E07000079,80,742,One
E07000080,40,535,One
E07000081,120,635,One
E07000082,160,617,One
E07000083,170,572,One
E07000187,190,612,One
E07000188,130,587,One
E07000246,260,581,One
E07000189,500,548,One
E06000047,2030,483,Two
E06000005,1100,501,Two
E06000001,300,465,Two
E06000002,370,515,Two
E06000057,970,510,Two
E06000003,300,498,Two
E06000004,490,552,Two
E08000037,730,586,Two
E08000021,850,767,Two
E08000022,820,591,Two
E08000023,400,503,Two
E08000024,670,536,Two
E06000008,740,515,Two
E06000009,650,549,Two
E06000049,1960,790,Two
E06000050,1230,737,Two
E06000006,500,561,Two
E06000007,1090,660,Two
E07000026,470,509,Two
E07000027,450,560,Two
E07000028,790,515,Two
E07000029,370,532,Two
E07000030,270,583,Two
E07000031,590,702,Two
E08000001,830,623,Two
E08000002,480,694,Two
E08000003,3050,979,Two
E08000004,370,624,Two
E08000005,550,571,Two
E08000006,1060,862,Two
E08000007,1020,802,Two
E08000008,620,662,Two
E08000009,690,957,Two
E08000010,1660,549,Two
E07000117,590,480,Two
E07000118,400,608,Two
E07000119,310,670,Two
E07000120,570,482,Two
E07000121,710,619,Two
E07000122,460,506,Two
E07000123,570,605,Two
E07000124,300,639,Two
E07000125,270,576,Two
E07000126,380,608,Two
E07000127,120,607,Two
E07000128,430,629,Two
E08000011,100,573,Two
E08000012,1770,682,Two
E08000014,550,648,Two
E08000013,700,565,Two
E08000015,950,619,Two
E06000011,770,556,Two
E06000010,1150,482,Two
E06000012,390,520,Two
E06000013,330,515,Two
E06000014,1710,881,Two
E07000163,350,636,Two
E07000164,250,610,Two
E07000165,1060,836,Two
E07000166,270,557,Two
E07000167,230,651,Two
E07000168,370,591,Two
E07000169,140,644,Two
E08000016,690,507,Two
E08000017,960,559,Two
E08000018,750,541,Two
E08000019,2140,712,Two
E08000032,1280,589,Two
E08000033,900,557,Two
E08000034,1060,572,Two
E08000035,3220,864,Two
E08000036,790,616,Two
E06000015,1880,624,Two
E06000016,770,723,Two
E06000018,1520,775,Two
E06000017,100,683,Two
E07000032,400,612,Two
E07000033,270,559,Two
E07000034,650,577,Two
E07000035,290,673,Two
E07000036,570,650,Two
E07000037,180,682,Two
E07000038,250,608,Two
E07000039,370,659,Two
E07000129,90,722,Two
E07000130,630,680,Two
E07000131,80,722,Two
E07000132,260,672,Two
E07000133,200,625,Two
E07000134,270,672,Two
E07000135,110,729,Two
E07000136,700,653,Two
E07000137,710,549,Two
E07000138,680,690,Two
E07000139,360,637,Two
E07000140,500,653,Two
E07000141,680,643,Two
E07000142,270,564,Two
E07000150,260,755,Two
E07000151,160,780,Two
E07000152,210,744,Two
E07000153,430,727,Two
E07000154,1090,785,Two
E07000155,140,840,Two
E07000156,210,713,Two
E07000170,490,586,Two
E07000171,270,555,Two
E07000172,360,727,Two
E07000173,380,674,Two
E07000174,650,570,Two
E07000175,390,609,Two
E07000176,430,741,Two
E06000019,560,673,Two
E06000051,910,640,Two
E06000021,1430,504,Two
E06000020,500,637,Two
E07000192,310,646,Two
E07000193,500,651,Two
E07000194,410,786,Two
E07000195,440,615,Two
E07000196,100,703,Two
E07000197,510,650,Two
E07000198,240,548,Two
E07000199,250,715,Two
E07000218,220,694,Two
E07000219,420,645,Two
E07000220,290,757,Two
E07000221,460,864,Two
E07000222,1000,933,Two
E08000025,2180,832,Two
E08000026,790,767,Two
E08000027,520,672,Two
E08000028,550,695,Two
E08000029,560,877,Two
E08000030,430,651,Two
E08000031,300,665,Two
E07000234,150,746,Two
E07000235,180,755,Two
E07000236,170,720,Two
E07000237,440,738,Two
E07000238,340,748,Two
E07000239,360,640,Two
E06000055,870,855,Two
E06000056,1430,926,Two
E06000032,840,901,Two
E06000031,1220,737,Two
E06000033,1620,951,Two
